UniProt,Keywords
P30518,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Diabetes insipidus', 'Disease variant', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P50613,"['3D-structure', 'Acetylation', 'ATP-binding', 'Cell cycle', 'Cell division', 'Cytoplasm', 'DNA damage', 'DNA repair', 'Kinase', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transcription', 'Transcription regulation', 'Transferase']"
P12236,"['Acetylation', 'Antiport', 'Apoptosis', 'Direct protein sequencing', 'Host-virus interaction', 'Membrane', 'Methylation', 'Mitochondrion', 'Mitochondrion inner membrane', 'Reference proteome', 'Repeat', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P31751,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Carbohydrate metabolism', 'Cell membrane', 'Cytoplasm', 'Developmental protein', 'Diabetes mellitus', 'Disease variant', 'Disulfide bond', 'Endosome', 'Glucose metabolism', 'Glycogen biosynthesis', 'Glycogen metabolism', 'Glycoprotein', 'Kinase', 'Manganese', 'Membrane', 'Metal-binding', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'Serine/threonine-protein kinase', 'Sugar transport', 'Transferase', 'Translation regulation', 'Transport', 'Ubl conjugation']"
P53779,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Biological rhythms', 'Chromosomal rearrangement', 'Cytoplasm', 'Direct protein sequencing', 'Epilepsy', 'Intellectual disability', 'Kinase', 'Lipoprotein', 'Membrane', 'Mitochondrion', 'Nucleotide-binding', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
Q9UPZ9,"['Alternative splicing', 'ATP-binding', 'Cell projection', 'Cilium biogenesis/degradation', 'Cytoplasm', 'Cytoskeleton', 'Developmental protein', 'Disease variant', 'Epilepsy', 'Kinase', 'Magnesium', 'Metal-binding', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
Q96PY6,"['3D-structure', 'Alternative splicing', 'Amyotrophic lateral sclerosis', 'ATP-binding', 'Cell cycle', 'Cell division', 'Ciliopathy', 'Cilium biogenesis/degradation', 'Cytoplasm', 'Cytoskeleton', 'Kinase', 'Magnesium', 'Metal-binding', 'Mitosis', 'Neurodegeneration', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Tyrosine-protein kinase']"
Q13557,"['3D-structure', 'Acetylation', 'Alternative splicing', 'ATP-binding', 'Calmodulin-binding', 'Cell membrane', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Sarcoplasmic reticulum', 'Serine/threonine-protein kinase', 'Transferase']"
Q13164,"['3D-structure', 'Acetylation', 'Alternative splicing', 'ATP-binding', 'Cell cycle', 'Cytoplasm', 'Differentiation', 'Direct protein sequencing', 'Kinase', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
P51955,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell cycle', 'Cell division', 'Centromere', 'Chromosome', 'Chromosome partition', 'Coiled coil', 'Cytoplasm', 'Cytoskeleton', 'Kinase', 'Kinetochore', 'Magnesium', 'Meiosis', 'Metal-binding', 'Microtubule', 'Mitosis', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Retinitis pigmentosa', 'Serine/threonine-protein kinase', 'Transferase']"
P10275,"['3D-structure', 'Activator', 'Alternative splicing', 'Cytoplasm', 'Disease variant', 'DNA-binding', 'Isopeptide bond', 'Lipid-binding', 'Lipoprotein', 'Metal-binding', 'Neurodegeneration', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Pseudohermaphroditism', 'Receptor', 'Reference proteome', 'Steroid-binding', 'Transcription', 'Transcription regulation', 'Triplet repeat expansion', 'Ubl conjugation', 'Zinc', 'Zinc-finger']"
P36897,"['3D-structure', 'Alternative splicing', 'Aortic aneurysm', 'Apoptosis', 'ATP-binding', 'Cell junction', 'Cell membrane', 'Craniosynostosis', 'Differentiation', 'Direct protein sequencing', 'Disease variant', 'Disulfide bond', 'Glycoprotein', 'Growth regulation', 'Isopeptide bond', 'Kinase', 'Magnesium', 'Manganese', 'Membrane', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Serine/threonine-protein kinase', 'Signal', 'Tight junction', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation']"
O75676,"['Alternative splicing', 'ATP-binding', 'Inflammatory response', 'Kinase', 'Magnesium', 'Metal-binding', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Serine/threonine-protein kinase', 'Stress response', 'Transferase']"
P12931,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell adhesion', 'Cell cycle', 'Cell junction', 'Cell membrane', 'Cytoplasm', 'Cytoskeleton', 'Disease variant', 'Host-virus interaction', 'Immunity', 'Kinase', 'Lipoprotein', 'Membrane', 'Mitochondrion', 'Mitochondrion inner membrane', 'Myristate', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'SH2 domain', 'SH3 domain', 'Transferase', 'Tyrosine-protein kinase', 'Ubl conjugation']"
P54764,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell adhesion', 'Cell junction', 'Cell membrane', 'Cell projection', 'Developmental protein', 'Endosome', 'Glycoprotein', 'Kinase', 'Membrane', 'Neurogenesis', 'Nucleotide-binding', 'Phosphoprotein', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Repeat', 'Signal', 'Synapse', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase']"
P11216,"['3D-structure', 'Acetylation', 'Allosteric enzyme', 'Carbohydrate metabolism', 'Direct protein sequencing', 'Glycogen metabolism', 'Glycosyltransferase', 'Phosphoprotein', 'Pyridoxal phosphate', 'Reference proteome', 'Transferase']"
P61160,"['3D-structure', 'Acetylation', 'Actin-binding', 'Alternative splicing', 'ATP-binding', 'Cell projection', 'Cytoplasm', 'Cytoskeleton', 'Direct protein sequencing', 'Nucleotide-binding', 'Nucleus', 'Reference proteome']"
Q07002,"['Alternative splicing', 'ATP-binding', 'Kinase', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
P62813,"['3D-structure', 'Cell membrane', 'Chloride', 'Chloride channel', 'Cytoplasmic vesicle', 'Disulfide bond', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Ligand-gated ion channel', 'Membrane', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Signal', 'Synapse', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P06239,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Chromosomal rearrangement', 'Cytoplasm', 'Disease variant', 'Host-virus interaction', 'Kinase', 'Lipoprotein', 'Membrane', 'Myristate', 'Nucleotide-binding', 'Palmitate', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'SH2 domain', 'SH3 domain', 'Transferase', 'Tyrosine-protein kinase']"
Q15759,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cytoplasm', 'Kinase', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Stress response', 'Transcription', 'Transcription regulation', 'Transferase']"
P46663,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q8TD19,"['3D-structure', 'Acetylation', 'ATP-binding', 'Cell cycle', 'Cell division', 'Coiled coil', 'Cytoplasm', 'Direct protein sequencing', 'Disease variant', 'Kinase', 'Magnesium', 'Metal-binding', 'Mitosis', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Serine/threonine-protein kinase', 'Transferase']"
P23458,"['3D-structure', 'Acetylation', 'ATP-binding', 'Disease variant', 'Kinase', 'Magnesium', 'Membrane', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'SH2 domain', 'Transferase', 'Tyrosine-protein kinase', 'Ubl conjugation']"
P17252,"['3D-structure', 'Acetylation', 'Angiogenesis', 'Apoptosis', 'ATP-binding', 'Calcium', 'Cell adhesion', 'Cell membrane', 'Cytoplasm', 'Direct protein sequencing', 'Kinase', 'Membrane', 'Metal-binding', 'Mitochondrion', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'Repeat', 'Serine/threonine-protein kinase', 'Transferase', 'Zinc', 'Zinc-finger']"
Q14680,"['3D-structure', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Calcium', 'Cell cycle', 'Cell membrane', 'Kinase', 'Lipid-binding', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
Q9UBE8,"['ATP-binding', 'Cytoplasm', 'Kinase', 'Magnesium', 'Metal-binding', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transcription', 'Transcription regulation', 'Transferase', 'Wnt signaling pathway']"
Q9Y2U5,"['3D-structure', 'ATP-binding', 'Cytoplasm', 'Kinase', 'Magnesium', 'Metal-binding', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Ubl conjugation']"
P11388,"['3D-structure', 'Acetylation', 'Alternative splicing', 'ATP-binding', 'Biological rhythms', 'Cytoplasm', 'Direct protein sequencing', 'DNA-binding', 'Isomerase', 'Isopeptide bond', 'Magnesium', 'Metal-binding', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Topoisomerase', 'Ubl conjugation']"
Q02750,"['3D-structure', 'Acetylation', 'Alternative splicing', 'ATP-binding', 'Cardiomyopathy', 'Cytoplasm', 'Cytoskeleton', 'Direct protein sequencing', 'Disease variant', 'Ectodermal dysplasia', 'Intellectual disability', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Tyrosine-protein kinase']"
P06400,"['3D-structure', 'Acetylation', 'Cell cycle', 'Chromatin regulator', 'Direct protein sequencing', 'Disease variant', 'DNA-binding', 'Host-virus interaction', 'Methylation', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Repressor', 'Transcription', 'Transcription regulation', 'Tumor suppressor']"
P32239,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P24864,"['3D-structure', 'Alternative splicing', 'Cell cycle', 'Cell division', 'Cyclin', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Ubl conjugation']"
Q12809,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Deafness', 'Disease variant', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Long QT syndrome', 'Membrane', 'Methylation', 'Phosphoprotein', 'Potassium', 'Potassium channel', 'Potassium transport', 'Reference proteome', 'Short QT syndrome', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Voltage-gated channel']"
P45984,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Biological rhythms', 'Cytoplasm', 'Kinase', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
P15207,"['3D-structure', 'Cytoplasm', 'Disease variant', 'DNA-binding', 'Isopeptide bond', 'Lipid-binding', 'Lipoprotein', 'Metal-binding', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Steroid-binding', 'Transcription', 'Transcription regulation', 'Ubl conjugation', 'Zinc', 'Zinc-finger']"
P36507,"['3D-structure', 'Acetylation', 'ATP-binding', 'Cardiomyopathy', 'Cytoplasm', 'Direct protein sequencing', 'Disease variant', 'Ectodermal dysplasia', 'Intellectual disability', 'Kinase', 'Magnesium', 'Membrane', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Tyrosine-protein kinase']"
O60313,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Apoptosis', 'Cardiomyopathy', 'Coiled coil', 'Deafness', 'Disease variant', 'GTP-binding', 'Hydrolase', 'Lipid-binding', 'Membrane', 'Mitochondrion', 'Mitochondrion inner membrane', 'Neurodegeneration', 'Nucleotide-binding', 'Primary mitochondrial disease', 'Reference proteome', 'Sensory transduction', 'Transit peptide', 'Transmembrane', 'Transmembrane helix', 'Vision']"
Q9UGJ0,"['Alternative splicing', 'ATP-binding', 'Cardiomyopathy', 'CBS domain', 'Disease variant', 'Fatty acid biosynthesis', 'Fatty acid metabolism', 'Glycogen storage disease', 'Glycoprotein', 'Lipid biosynthesis', 'Lipid metabolism', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat']"
P35354,"['3D-structure', 'Acetylation', 'Dioxygenase', 'Disulfide bond', 'Endoplasmic reticulum', 'Fatty acid biosynthesis', 'Fatty acid metabolism', 'Glycoprotein', 'Heme', 'Iron', 'Lipid biosynthesis', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Nucleus', 'Oxidoreductase', 'Peroxidase', 'Prostaglandin biosynthesis', 'Prostaglandin metabolism', 'Reference proteome', 'S-nitrosylation', 'Signal']"
Q5VT25,"['Alternative splicing', 'ATP-binding', 'Cell projection', 'Coiled coil', 'Cytoplasm', 'Kinase', 'Magnesium', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Zinc', 'Zinc-finger']"
P34998,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Direct protein sequencing', 'Disulfide bond', 'Endosome', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Signal', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q06418,"['3D-structure', 'ATP-binding', 'Cell adhesion', 'Cell membrane', 'Disulfide bond', 'Glycoprotein', 'Host cell receptor for virus entry', 'Host-virus interaction', 'Immunoglobulin domain', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Repeat', 'Signal', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase']"
P51617,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cytoplasm', 'Direct protein sequencing', 'Host-virus interaction', 'Immunity', 'Innate immunity', 'Isopeptide bond', 'Kinase', 'Lipid droplet', 'Magnesium', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Ubl conjugation']"
Q99683,"['3D-structure', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Coiled coil', 'Cytoplasm', 'Endoplasmic reticulum', 'Host-virus interaction', 'Immunity', 'Innate immunity', 'Kinase', 'Magnesium', 'Metal-binding', 'Methylation', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Stress response', 'Transferase', 'Ubl conjugation']"
O43193,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P21918,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'Dystonia', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P04899,"['3D-structure', 'ADP-ribosylation', 'Alternative splicing', 'Cell cycle', 'Cell division', 'Cell membrane', 'Cytoplasm', 'Cytoskeleton', 'GTP-binding', 'Lipoprotein', 'Magnesium', 'Membrane', 'Metal-binding', 'Myristate', 'Nucleotide-binding', 'Palmitate', 'Reference proteome', 'Transducer']"
P06493,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Biological rhythms', 'Cell cycle', 'Cell division', 'Cytoplasm', 'Cytoskeleton', 'Host cell receptor for virus entry', 'Host-virus interaction', 'Isopeptide bond', 'Kinase', 'Mitochondrion', 'Mitosis', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Ubl conjugation']"
P07949,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell adhesion', 'Cell membrane', 'Chromosomal rearrangement', 'Disease variant', 'Disulfide bond', 'Endosome', 'Glycoprotein', 'Hirschsprung disease', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'Signal', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase']"
P27361,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Cell cycle', 'Cell junction', 'Cytoplasm', 'Direct protein sequencing', 'Host-virus interaction', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Ubl conjugation']"
P48546,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Signal', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P15735,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Calmodulin-binding', 'Carbohydrate metabolism', 'Disease variant', 'Glycogen metabolism', 'Glycogen storage disease', 'Kinase', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
P04150,"['3D-structure', 'Acetylation', 'Alternative initiation', 'Alternative splicing', 'Apoptosis', 'Cell cycle', 'Cell division', 'Chromatin regulator', 'Chromosome partition', 'Cytoplasm', 'Cytoskeleton', 'Disease variant', 'DNA-binding', 'Isopeptide bond', 'Lipid-binding', 'Metal-binding', 'Methylation', 'Mitochondrion', 'Mitosis', 'Nucleus', 'Phosphoprotein', 'Pseudohermaphroditism', 'Receptor', 'Reference proteome', 'RNA-binding', 'Steroid-binding', 'Transcription', 'Transcription regulation', 'Ubl conjugation', 'Zinc', 'Zinc-finger']"
Q7KZI7,"['3D-structure', 'Alternative promoter usage', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Cell projection', 'Cytoplasm', 'Cytoskeleton', 'Developmental protein', 'Differentiation', 'Kinase', 'Lipid-binding', 'Magnesium', 'Membrane', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase', 'Wnt signaling pathway']"
P11274,"['3D-structure', 'Acetylation', 'Alternative splicing', 'ATP-binding', 'Cell projection', 'Chromosomal rearrangement', 'Coiled coil', 'GTPase activation', 'Guanine-nucleotide releasing factor', 'Kinase', 'Methylation', 'Nucleotide-binding', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'Serine/threonine-protein kinase', 'Synapse', 'Transferase']"
P21452,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P16083,"['3D-structure', 'Cytoplasm', 'FAD', 'Flavoprotein', 'Metal-binding', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome', 'Zinc']"
P28335,"['3D-structure', 'Alternative splicing', 'Behavior', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'RNA editing', 'Signal', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P37173,"['3D-structure', 'Alternative splicing', 'Aortic aneurysm', 'Apoptosis', 'ATP-binding', 'Cell membrane', 'Craniosynostosis', 'Differentiation', 'Direct protein sequencing', 'Disease variant', 'Disulfide bond', 'Glycoprotein', 'Growth regulation', 'Hereditary nonpolyposis colorectal cancer', 'Kinase', 'Magnesium', 'Manganese', 'Membrane', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Secreted', 'Serine/threonine-protein kinase', 'Signal', 'Transferase', 'Transmembrane', 'Transmembrane helix']"
Q16620,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Cell projection', 'Cytoplasm', 'Developmental protein', 'Differentiation', 'Disease variant', 'Disulfide bond', 'Endosome', 'Epilepsy', 'Glycoprotein', 'Immunoglobulin domain', 'Kinase', 'Leucine-rich repeat', 'Membrane', 'Neurogenesis', 'Nucleotide-binding', 'Obesity', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Repeat', 'Signal', 'Synapse', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase', 'Ubl conjugation']"
P22612,"['ATP-binding', 'cAMP', 'Disease variant', 'Kinase', 'Lipoprotein', 'Myristate', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
P0DTD1,"['3D-structure', 'Activation of host autophagy by virus', 'ATP-binding', 'Decay of host mRNAs by virus', 'Disulfide bond', 'Endonuclease', 'Eukaryotic host gene expression shutoff by virus', 'Eukaryotic host translation shutoff by virus', 'Exonuclease', 'Helicase', 'Host cytoplasm', 'Host endoplasmic reticulum', 'Host endosome', 'Host gene expression shutoff by virus', 'Host Golgi apparatus', 'Host membrane', 'Host mRNA suppression by virus', 'Host nucleus', 'Host-virus interaction', 'Hydrolase', 'Inhibition of host innate immune response by virus', 'Inhibition of host interferon signaling pathway by virus', 'Inhibition of host IRF3 by virus', 'Inhibition of host ISG15 by virus', 'Inhibition of host NF-kappa-B by virus', 'Inhibition of host RLR pathway by virus', 'Inhibition of host TBK1 by virus', 'Inhibition of host TLR pathway by virus', 'Interferon antiviral system evasion', 'Leucine-rich repeat', 'Lyase', 'Membrane', 'Metal-binding', 'Methyltransferase', 'Modulation of host ubiquitin pathway by viral deubiquitinase', 'Modulation of host ubiquitin pathway by virus', 'Nuclease', 'Nucleotide-binding', 'Nucleotidyltransferase', 'Protease', 'Reference proteome', 'Repeat', 'Ribosomal frameshifting', 'RNA-binding', 'RNA-directed RNA polymerase', 'Thiol protease', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation pathway', 'Viral immunoevasion', 'Viral RNA replication', 'Zinc', 'Zinc-finger']"
P08069,"['3D-structure', 'ATP-binding', 'Cell membrane', 'Cleavage on pair of basic residues', 'Direct protein sequencing', 'Disease variant', 'Disulfide bond', 'Glycoprotein', 'Host-virus interaction', 'Isopeptide bond', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Repeat', 'Signal', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase', 'Ubl conjugation']"
O15197,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Direct protein sequencing', 'Glycoprotein', 'Membrane', 'Nucleotide-binding', 'Receptor', 'Reference proteome', 'Repeat', 'Secreted', 'Signal', 'Transmembrane', 'Transmembrane helix']"
Q76MJ5,"['Apoptosis', 'ATP-binding', 'Endoplasmic reticulum', 'Hydrolase', 'Kinase', 'Magnesium', 'Membrane', 'Metal-binding', 'Multifunctional enzyme', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Signal', 'Transcription', 'Transcription regulation', 'Transferase', 'Transmembrane', 'Transmembrane helix']"
P07332,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell junction', 'Cell membrane', 'Coiled coil', 'Cytoplasm', 'Cytoplasmic vesicle', 'Cytoskeleton', 'Golgi apparatus', 'Kinase', 'Lipid-binding', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'SH2 domain', 'Transferase', 'Tumor suppressor', 'Tyrosine-protein kinase']"
P11229,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Synapse', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q14004,"['3D-structure', 'Acetylation', 'Alternative splicing', 'ATP-binding', 'Disease variant', 'Host-virus interaction', 'Intellectual disability', 'Isopeptide bond', 'Kinase', 'mRNA processing', 'mRNA splicing', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'RNA editing', 'Serine/threonine-protein kinase', 'Transferase', 'Ubl conjugation']"
P50406,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Membrane', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q9Y4K4,"['ATP-binding', 'Cytoplasm', 'Kinase', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Transferase']"
Q16832,"['3D-structure', 'ATP-binding', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'Dwarfism', 'Glycoprotein', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Osteogenesis', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Signal', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase']"
P27815,"['3D-structure', 'Alternative splicing', 'cAMP', 'Cell membrane', 'Cell projection', 'Cytoplasm', 'Hydrolase', 'Isopeptide bond', 'Manganese', 'Membrane', 'Metal-binding', 'Phosphoprotein', 'Reference proteome', 'Ubl conjugation', 'Zinc']"
Q5S007,"['3D-structure', 'ATP-binding', 'Autophagy', 'Cell projection', 'Coiled coil', 'Cytoplasm', 'Cytoplasmic vesicle', 'Cytoskeleton', 'Differentiation', 'Disease variant', 'Endoplasmic reticulum', 'Endosome', 'Golgi apparatus', 'GTP-binding', 'GTPase activation', 'Hydrolase', 'Kinase', 'Leucine-rich repeat', 'Lysosome', 'Membrane', 'Mitochondrion', 'Mitochondrion outer membrane', 'Neurodegeneration', 'Nucleotide-binding', 'Parkinson disease', 'Parkinsonism', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Serine/threonine-protein kinase', 'Synapse', 'Transferase', 'Ubl conjugation', 'WD repeat']"
